# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
C1289.12		Protein containing two RNA recognition motifs (RRM, RBD, or RNP), has weak similarity to mouse Tia1, which is a cytotoxic granule-associated RNA-binding protein that binds mRNA and functions in mRNA splicing and translational repression					SPBC1289.12	RNA-binding protein		O94621							
C6G9.16c		Protein of unknown function					SPAC6G9.16c	sequence orphan		Q92361							
its3		Phosphatidylinositol 4-phosphate 5-kinase, involved in the regulation of cytokinesis					SPAC19G12.14	1-phosphatidylinositol-4-phosphate 5-kinase Its3		O13853							
sdh2	EC1.3.5.1	Protein with high similarity to succinate dehydrogenase (ubiquinone) iron-sulfur protein (Ip) subunit (S. cerevisiae Sdh2p), which functions in the TCA cycle, contains a 2Fe-2S iron-sulfur cluster binding domain, which are involved in electron transfer					SPAC140.01	succinate dehydrogenase (ubiquinone) iron-sulfur protein subunit		P21911							
C323.05c		Protein of unknown function, has moderate similarity to uncharacterized C. albicans Orf19.331p					SPAC323.05c	protein methyltransferase (predicted)		Q9UT94							
C30D10.19c		Member of the rhomboid family of integral membrane proteins, has a region of moderate similarity to a region of S. cerevisiae Pcp1p, which is a putative serine protease required for proteolytic processing of S. cerevisiae Mgm1p and S. cerevisiae Ccp1p					SPBC13E7.11	rhomboid family protease,  SPBC30D10.19c		O14364							
P8B7.02		Protein of unknown function					SPBP8B7.02	sequence orphan		O94252							
C17H9.10c		Damaged DNA-binding protein 1 (by similarity to human DDB1), a component of the Pcu4p-containing ubiquitin ligase that targets the S phase inhibitor Spd1p for degradation, essential for meiotic S phase					SPAC17H9.10c	damaged DNA binding 1		O13807							
P8B7.04		Protein of unknown function					SPBP8B7.04	sequence orphan		O94254							
C12B10.14c		Protein containing a protein kinase domain, has weak similarity to a region of C. albicans Cst20p, which is a serine/threonine protein kinase required for filamentous growth under some conditions					SPAC12B10.14c	serine/threonine protein kinase (predicted)		Q10447							
C31F10.13c		Required for the regulation of expression of H2A and H2B histone genes, involved in silencing at the outer centromeric regions and mating type loci					SPBC31F10.13c	hira protein		P87314							
C589.03c		Protein of unknown function					SPAC589.03c	sequence orphan		Q9HE01							
C16E9.13		Protein containing one protein kinase domain, has low similarity to S. pombe Ran1p, which negatively regulates transcription of the mating type loci, sexual conjugation and meiosis					SPBC16E9.13	serine/threonine protein kinase Ksp1 (predicted)		O14328							
C16E9.15		Protein of unknown function					SPBC16E9.15	small protein conserved in human and D. melanogaster		O14330							
C16E9.19		Protein of unknown function					SPBC16E9.19	dubious		Q9C0X2							
P4H10.14c		Protein of unknown function					SPBP4H10.14c	sequence orphan		Q9P7D5							
P8B7.11		Protein containing a nuclear transport factor 2 domain, which facilitate protein transport into the nucleus, and an RNA recognition motif (RRM, RBD, or RNP), has low similarity to Ras-GTPase activating protein SH3 domain-binding protein 2 (human G3BP2)					SPBP8B7.11	nxt3,  RNA-binding protein		O94260							
C4C3.03	EC2.7.1.39	Protein with high similarity to homoserine kinase (ATP:L-homoserine-O-P-transferase, S. cerevisiae Thr1p), which catalyzes the first step in threonine synthesis, member of the GHMP (galactose-homoserine-mevalonate-phosphomevalonate) kinases putative ATP-binding protein family					SPBC4C3.03	homoserine kinase (predicted)		O43056							
P8B7.13		Protein of unknown function					SPBP8B7.13	sequence orphan		O94262							
pho1	EC3.1.3.2	Non-specific acid phosphatase precursor					SPBP4G3.02	acid phosphatase		P08091							
PB2B4.04c	EC3.6.1.38	Member of the E1-E2 (P-type) ATPase family, contains a cation transporting ATPase C-terminal domain and a haloacid dehalogenase-like hydrolase domain, has moderate similarity to S. cerevisiae Pmc1p, which is a vacuolar Ca2+-transporting P-type ATPase					SPAPB2B4.04c	P-type calcium ATPase		Q9HDW7							
C188.10c							NULL_SPCC188.10c										
pho2	EC3.1.3.41	Specific p-nitrophenylphosphatase					SPBC15D4.15	4-nitrophenylphosphatase		Q00472							
C4C3.06		Member of the Fes or CIP4 homology domain family, has weak similarity to uncharacterized S. cerevisiae Syp1p, which is a multicopy suppressor of profilin deficiency					SPBC4C3.06	FCH domain		O43059							
pho4	EC3.1.3.2	Thiamine-repressible acid phosphatase					SPBC428.03c	acid phosphatase		Q01682							
C4C3.07		Member of the Mov34, MPN or PAD-1 family, has moderate similarity to eukaryotic translation initiation factor 3 subunit 5 epsilon 47kDa (human EIF3S5), which dissociates 80S ribosomes, stabilizes Met-tRNAi binding to 40S subunits and binds human CDK11					SPBC4C3.07	eukaryotic translation initiation factor eIF3f (pers. comm,  Dieter Wolf)		O43060							
C12B10.15c		Protein of unknown function					SPAC12B10.15c	sequence orphan		Q10448							
mek1	EC2.7.1.37	Meiosis-specific protein kinase that prevents entry into meiosis I until recombination is complete through inhibitory phosphorylation of Cdc25p, localizes to linear elements in the meiotic nucleus during prophase					SPAC14C4.03	Cds1/Rad53/Chk2 family protein kinase Mek1		Q10292							
P8B7.19		Protein with high similarity to S. cerevisiae Spt16p, which is required for gene activation and chromatin-mediated repression and which interacts with S. cerevisiae Pob3p to form the CP complex, contains a metallopeptidase family M24 domain					SPBP8B7.19	FACT complex component		O94267							
C31F10.14c		Protein containing a type 1 tetratricopeptide repeat, which may mediate protein interactions, and a type 2 tetratricopeptide repeat, has weak similarity to S. cerevisiae Hir3p, which is a transcription regulator that controls histone gene expression					SPBC31F10.14c	TPR repeat protein		P87315							
C74.02c		Protein of unknown function					SPCC74.02c	involved in polyadenylation (implicated)		O74535							
C2G2.07c		Protein of unknown function					SPBC2G2.07c	mitochondrial ribosomal protein (small subunit)		O43006							
C8D2.01		Serine/threonine protein kinase					SPBC8D2.01	serine/threonine protein kinase Gsk31,  obsolete:pi064		Q9URT9							
C23G7.01c		Member of the YjeF-related protein N terminus containing family, has weak similarity to S. cerevisiae Edc3p, which is involved in mRNA decapping					SPBC18E5.11c	YjeF-related protein,  SPBC23G7.01c		O94752							
C338.06C		Member of the Hsp20 or alpha crystallin family, has moderate similarity to S. pombe Hsp16p, which is a heat shock protein that may be regulated by Ras1p					SPCC338.06c	heat shock protein		O74984							
C8D2.06	EC6.1.1.5	Protein with high similarity to isoleucyl-tRNA synthetase (S. cerevisiae Ils1p), which is a cytoplasmic aminoacyl tRNA synthetase, member of the class I isoleucyl, leucyl, valyl, and methionyl (I, L, M, and V) tRNA synthetase family					SPBC8D2.06	isoleucine-tRNA ligase (predicted)		O13651							
C577.15c		Protein containing two type 2 tetratricopeptide repeats, has low similarity to uncharacterized C. albicans Orf19.6843p					SPBC577.15c	TPR repeat protein		Q9USQ4							
C323.07c		Member of the MatE family, which are integral membrane proteins, has moderate similarity to uncharacterized S. pombe Spcc4b3.13p					SPAC323.07c	MatE family transporter		Q9UT92							
C4C3.11		Phosphoinositide-dependent protein kinase, required for normal passage through metaphase and normal cytokinesis, localizes to the spindle pole body and a medial cortical ring structure early in mitosis					SPBC1778.10c	phosphoinositide-dependent kinase 1 family (predicted),  SPBC4C3.11		Q9Y7J6							
C4C3.12		Transcription factor of the HNF-3/forkhead family, involved in regulation of cytokinesis and septation					SPBC4C3.12	fork head transcription factor Sep1		O43058							
P8B7.21		Member of the ubiquitin carboxyl-terminal hydrolase family, which are cysteine proteases involved in deubiquitination, has weak similarity to ubiquitin specific protease 12 (ubiquitin hydrolyzing enzyme 1, human USP12)					SPBP8B7.21	ubp3,  ubiquitin C-terminal hydrolase activity		O94269							
P8B7.23		Zinc finger protein of unknown function, appears to localize to the nucleus					SPBP8B7.23	zinc finger protein		Q9UU59							
C17H9.12c	EC1.6.2.2	Member of the oxidoreductase FAD-binding domain family, has low similarity to NADH-cytochrome b5 reductase (S. cerevisiae Mcr1p), which is a mitochondrial protein that may be involved in the response to oxidative damage					SPAC17H9.12c	NADH-cytochrome reductase		O13809							
php2		Subunit of the CCAAT-box transcriptional activation complex, required for growth on non-fermentable carbon sources, putative homolog of S. cerevisiae Hap2p					SPBC725.11c	CCAAT-box binding factor complex subunit		P24488							
P8B7.25		Protein with high similarity to cyclophilin B (mouse Ppib), which is a peptidyl prolyl cis-trans isomerase that is inhibited by the immunosuppressive drug cyclosporin A, contains a cyclophilin type peptidyl-prolyl cis-trans isomerase domain					SPBP8B7.25	cyclophilin		O94273							
P8B7.26		Protein of unknown function					SPBP8B7.26	proline-rich protein		O94274							
php3		Protein containing a histone-like transcription factor (CBF or NF-Y) and archaeal histone domain, has low similarity to polymerase (DNA directed) epsilon 3 (p17 subunit, human POLE3), which is a histone fold protein and DNA polymerase epsilon subunit					SPAC23C11.08	CCAAT-box binding factor complex		P36611							
P8B7.27		Protein containing a HECT domain, has a region of moderate similarity to a region of E6-associated-protein (E6-AP, human UBE3A), which is a ubiquitin-protein ligase acting in brain development, virus-induced degradation of p53 (TP53) and Angelman syndrome					SPBP8B7.27	ubiquitin-protein ligase (E3)		O94275							
tug1: gtb1		Tubulin gamma chain					SPBC32F12.04	gamma-tubulin,  gtb1		P25295							
C12B10.16c		Member of the DUF1237 domain of unknown function family, has high similarity to uncharacterized C. albicans Orf19.6464p					SPAC12B10.16c	conserved protein		Q10449							
php5		Subunit of CCAAT-binding factor, required for growth on non-fermentable carbon sources					SPBC3B8.02	transcription factor		P79007							
P8B7.29		Member of the anthranilate synthase component I N-terminal region containing family and the chorismate binding enzyme family, which forms anthranilate, contains a glutamine amidotransferase class-I domain, has low similarity to A. fumigatus PabaA					SPBP8B7.29	para-aminobenzoate synthase (predicted)		O94277							
C31F10.15c	EC3.6.3.14	Member of the mitochondrial ATP synthase epsilon chain family, which may be involved in ATP synthase regulation					SPBC31F10.15c	F0-ATPase epsilon subunit		P87316							
C589.05c		Protein of unknown function, has moderate similarity to uncharacterized C. elegans C11D2.4					SPAC589.05c	conserved protein		Q9HDZ9							
C1672.11c		Member of the E1-E2 (P-type) ATPase family, which are cation transporters, has low similarity to S. pombe Cta4p, which is a probable Ca2+-transporting ATPase					SPCC1672.11c	P-type ATPase (predicted)		O74431							
C74.03c		Protein with high similarity to S. cerevisiae Snf1p, which is a serine/threonine protein kinase essential for derepression of glucose-repressed genes, contains a protein kinase and a protein tyrosine kinase domain					SPCC74.03c	serine/threonine protein kinase (predicted)		O74536							
C162.01C		Protein of unknown function					SPCC162.01c	RNA-binding protein (predicted)		O74418							
P4H10.16c		Protein of unknown function, has low similarity to uncharacterized C. albicans Whi2p					SPBP4H10.16c	hypothetical protein		Q9P7D3							
C8D2.11		Protein of unknown function					SPBC8D2.11	sequence orphan,  obsolete:pI054		O13647							
C23G7.02c	EC3.4.24.64	Protein with high similarity to catalytic (alpha) subunit of the mitochondrial processing peptidase (S. cerevisiae Mas2p), member of the insulinase (peptidase M16) family, which are divalent cation-dependent, contains a peptidase M16 inactive domain					SPBC18E5.12c	mitochondrial processing peptidase complex alpha subunit,  SPBC23G7.02c		O94745							
C8D2.13		Member of the SHQ1 protein family, has low similarity to S. cerevisiae Shq1p, which is a nucleoplasmic protein that forms a complex with S. cerevisiae Naf1p and is required for the biogenesis of box H/ACA snoRNPs					SPBC8D2.13	SHQ1 family protein,  obsolete:pI052		O43076							
C8D2.15		Protein with high similarity to lipoic acid synthase (S. cerevisiae Lip5p), which is required for lipoic acid biosynthesis, contains a radical SAM superfamily domain					SPBC8D2.15	lipoic acid synthetase (predicted)		O13642							
C8D2.17	EC2.4.1.-	Probable alpha-1,2-galactosyltransferase					SPBC8D2.17	alpha-1, 2-galactosyltransferase		O13640							
C8D2.19		Putative serine-threonine protein kinase, may play a role in meiosis or sporulation					SPBC8D2.19	serine/threonine protein kinase Mde3		O43077							
P8B7.31		Protein with moderate similarity to S. cerevisiae Yer134p, which is a possible magnesium-dependent acid phosphatase					SPBP8B7.31	acid phosphatase (predicted)		O94279							
